"training_set_id";"period";"hour_number";"timestamp_cst";"hours_in_sample"
1;2022;357734;"2023-10-24 13:00:00";12.0
1;2022;357738;"2023-10-24 17:00:00";12.0
1;2022;357742;"2023-10-24 21:00:00";12.0
1;2022;357673;"2023-10-22 00:00:00";360.0
1;2022;357677;"2023-10-22 04:00:00";360.0
1;2022;357681;"2023-10-22 08:00:00";360.0
1;2022;357685;"2023-10-22 12:00:00";360.0
1;2022;357689;"2023-10-22 16:00:00";360.0
1;2022;357693;"2023-10-22 20:00:00";360.0
1;2022;358417;"2023-11-22 00:00:00";12.0
1;2022;358421;"2023-11-22 04:00:00";12.0
1;2022;358425;"2023-11-22 08:00:00";12.0
1;2022;358429;"2023-11-22 12:00:00";12.0
1;2022;358433;"2023-11-22 16:00:00";12.0
1;2022;358437;"2023-11-22 20:00:00";12.0
1;2022;358153;"2023-11-11 00:00:00";348.0
1;2022;358157;"2023-11-11 04:00:00";348.0
1;2022;358161;"2023-11-11 08:00:00";348.0
1;2022;358165;"2023-11-11 12:00:00";348.0
1;2022;358169;"2023-11-11 16:00:00";348.0
1;2022;358173;"2023-11-11 20:00:00";348.0
1;2022;359067;"2023-12-19 02:00:00";12.0
1;2022;359071;"2023-12-19 06:00:00";12.0
1;2022;359075;"2023-12-19 10:00:00";12.0
1;2022;359079;"2023-12-19 14:00:00";12.0
1;2022;359083;"2023-12-19 18:00:00";12.0
1;2022;359087;"2023-12-19 22:00:00";12.0
1;2022;358729;"2023-12-05 00:00:00";360.0
1;2022;358733;"2023-12-05 04:00:00";360.0
1;2022;358737;"2023-12-05 08:00:00";360.0
1;2022;358741;"2023-12-05 12:00:00";360.0
1;2022;358745;"2023-12-05 16:00:00";360.0
1;2022;358749;"2023-12-05 20:00:00";360.0
1;2025;377523;"2026-01-26 02:00:00";12.0
1;2025;377527;"2026-01-26 06:00:00";12.0
1;2025;377531;"2026-01-26 10:00:00";12.0
1;2025;377535;"2026-01-26 14:00:00";12.0
1;2025;377539;"2026-01-26 18:00:00";12.0
1;2025;377543;"2026-01-26 22:00:00";12.0
1;2025;377185;"2026-01-12 00:00:00";360.0
1;2025;377189;"2026-01-12 04:00:00";360.0
1;2025;377193;"2026-01-12 08:00:00";360.0
1;2025;377197;"2026-01-12 12:00:00";360.0
1;2025;377201;"2026-01-12 16:00:00";360.0
1;2025;377205;"2026-01-12 20:00:00";360.0
1;2025;377690;"2026-02-02 01:00:00";12.0
1;2025;377694;"2026-02-02 05:00:00";12.0
1;2025;377698;"2026-02-02 09:00:00";12.0
1;2025;377702;"2026-02-02 13:00:00";12.0
1;2025;377706;"2026-02-02 17:00:00";12.0
1;2025;377710;"2026-02-02 21:00:00";12.0
1;2025;378001;"2026-02-15 00:00:00";339.0
1;2025;378005;"2026-02-15 04:00:00";339.0
1;2025;378009;"2026-02-15 08:00:00";339.0
1;2025;378013;"2026-02-15 12:00:00";339.0
1;2025;378017;"2026-02-15 16:00:00";339.0
1;2025;378021;"2026-02-15 20:00:00";339.0
1;2025;378842;"2026-03-22 01:00:00";12.0
1;2025;378846;"2026-03-22 05:00:00";12.0
1;2025;378850;"2026-03-22 09:00:00";12.0
1;2025;378854;"2026-03-22 13:00:00";12.0
1;2025;378858;"2026-03-22 17:00:00";12.0
1;2025;378862;"2026-03-22 21:00:00";12.0
1;2025;379057;"2026-03-31 00:00:00";360.0
1;2025;379061;"2026-03-31 04:00:00";360.0
1;2025;379065;"2026-03-31 08:00:00";360.0
1;2025;379069;"2026-03-31 12:00:00";360.0
1;2025;379073;"2026-03-31 16:00:00";360.0
1;2025;379077;"2026-03-31 20:00:00";360.0
1;2025;379753;"2026-04-29 00:00:00";12.0
1;2025;379757;"2026-04-29 04:00:00";12.0
1;2025;379761;"2026-04-29 08:00:00";12.0
1;2025;379765;"2026-04-29 12:00:00";12.0
1;2025;379769;"2026-04-29 16:00:00";12.0
1;2025;379773;"2026-04-29 20:00:00";12.0
1;2025;379441;"2026-04-16 00:00:00";348.0
1;2025;379445;"2026-04-16 04:00:00";348.0
1;2025;379449;"2026-04-16 08:00:00";348.0
1;2025;379453;"2026-04-16 12:00:00";348.0
1;2025;379457;"2026-04-16 16:00:00";348.0
1;2025;379461;"2026-04-16 20:00:00";348.0
1;2025;380355;"2026-05-24 02:00:00";12.0
1;2025;380359;"2026-05-24 06:00:00";12.0
1;2025;380363;"2026-05-24 10:00:00";12.0
1;2025;380367;"2026-05-24 14:00:00";12.0
1;2025;380371;"2026-05-24 18:00:00";12.0
1;2025;380375;"2026-05-24 22:00:00";12.0
1;2025;380497;"2026-05-30 00:00:00";360.0
1;2025;380501;"2026-05-30 04:00:00";360.0
1;2025;380505;"2026-05-30 08:00:00";360.0
1;2025;380509;"2026-05-30 12:00:00";360.0
1;2025;380513;"2026-05-30 16:00:00";360.0
1;2025;380517;"2026-05-30 20:00:00";360.0
1;2025;381002;"2026-06-20 01:00:00";12.0
1;2025;381006;"2026-06-20 05:00:00";12.0
1;2025;381010;"2026-06-20 09:00:00";12.0
1;2025;381014;"2026-06-20 13:00:00";12.0
1;2025;381018;"2026-06-20 17:00:00";12.0
1;2025;381022;"2026-06-20 21:00:00";12.0
1;2025;380761;"2026-06-10 00:00:00";348.0
1;2025;380765;"2026-06-10 04:00:00";348.0
1;2025;380769;"2026-06-10 08:00:00";348.0
1;2025;380773;"2026-06-10 12:00:00";348.0
1;2025;380777;"2026-06-10 16:00:00";348.0
1;2025;380781;"2026-06-10 20:00:00";348.0
1;2025;381314;"2026-07-03 01:00:00";12.0
1;2025;381318;"2026-07-03 05:00:00";12.0
1;2025;381322;"2026-07-03 09:00:00";12.0
1;2025;381326;"2026-07-03 13:00:00";12.0
1;2025;381330;"2026-07-03 17:00:00";12.0
1;2025;381334;"2026-07-03 21:00:00";12.0
1;2025;381865;"2026-07-26 00:00:00";360.0
1;2025;381869;"2026-07-26 04:00:00";360.0
1;2025;381873;"2026-07-26 08:00:00";360.0
1;2025;381877;"2026-07-26 12:00:00";360.0
1;2025;381881;"2026-07-26 16:00:00";360.0
1;2025;381885;"2026-07-26 20:00:00";360.0
1;2025;382417;"2026-08-18 00:00:00";12.0
1;2025;382421;"2026-08-18 04:00:00";12.0
1;2025;382425;"2026-08-18 08:00:00";12.0
1;2025;382429;"2026-08-18 12:00:00";12.0
1;2025;382433;"2026-08-18 16:00:00";12.0
1;2025;382437;"2026-08-18 20:00:00";12.0
1;2025;382177;"2026-08-08 00:00:00";360.0
1;2025;382181;"2026-08-08 04:00:00";360.0
1;2025;382185;"2026-08-08 08:00:00";360.0
1;2025;382189;"2026-08-08 12:00:00";360.0
1;2025;382193;"2026-08-08 16:00:00";360.0
1;2025;382197;"2026-08-08 20:00:00";360.0
1;2025;382852;"2026-09-05 03:00:00";12.0
1;2025;382856;"2026-09-05 07:00:00";12.0
1;2025;382860;"2026-09-05 11:00:00";12.0
