site,generator_type,renewable_id,load_area,capacity_mw,connect_cost_per_mw,timezone_difference_from_utc,site_name_or_notes
Distributed_PV_CA_SMUD_121253865,Distributed_PV,121253865,CA_SMUD,123.4851856,,-8,
Distributed_PV_CA_PGE_N_121653915,Distributed_PV,121653915,CA_PGE_N,47.7000664,,-8,
Distributed_PV_CA_PGE_CEN_121753665,Distributed_PV,121753665,CA_PGE_CEN,50.1744698,,-8,
Distributed_PV_CA_PGE_N_122253825,Distributed_PV,122253825,CA_PGE_N,64.121589,,-8,
Distributed_PV_CA_PGE_BAY_122453765,Distributed_PV,122453765,CA_PGE_BAY,168.720566,,-8,
Distributed_PV_WA_W_122954675,Distributed_PV,122954675,WA_W,13.0230828,,-8,
Distributed_PV_CA_SCE_SE_114653355,Distributed_PV,114653355,CA_SCE_SE,10.737727,,-8,
Distributed_PV_CA_SCE_CEN_117053485,Distributed_PV,117053485,CA_SCE_CEN,18.6565246,,-8,
Distributed_PV_CA_SDGE_117253335,Distributed_PV,117253335,CA_SDGE,25.70694,,-8,
Distributed_PV_CA_PGE_CEN_120753795,Distributed_PV,120753795,CA_PGE_CEN,13.6953502,,-8,
Distributed_PV_CA_PGE_N_121053895,Distributed_PV,121053895,CA_PGE_N,10.4656398,,-8,
Distributed_PV_CA_PGE_CEN_121153625,Distributed_PV,121153625,CA_PGE_CEN,9.8004396,,-8,
Distributed_PV_CA_PGE_CEN_121253785,Distributed_PV,121253785,CA_PGE_CEN,56.3715208,,-8,
Distributed_PV_CA_PGE_N_121553915,Distributed_PV,121553915,CA_PGE_N,22.7404828,,-8,
Distributed_PV_CA_PGE_S_120853535,Distributed_PV,120853535,CA_PGE_S,9.14319,,-8,
Distributed_PV_NV_S_114953595,Distributed_PV,114953595,NV_S,13.2209644,,-8,
Distributed_PV_NV_S_115253595,Distributed_PV,115253595,NV_S,12.9647784,,-8,
Distributed_PV_NV_N_119953955,Distributed_PV,119953955,NV_N,277.679122,,-8,
Distributed_PV_OR_PDX_122854555,Distributed_PV,122854555,OR_PDX,16.2130402,,-8,
Distributed_PV_WA_SEATAC_122454725,Distributed_PV,122454725,WA_SEATAC,170.9873704,,-8,
Distributed_PV_CA_SCE_CEN_118153465,Distributed_PV,118153465,CA_SCE_CEN,104.8754812,,-8,
Distributed_PV_CA_LADWP_118453425,Distributed_PV,118453425,CA_LADWP,20.8164376,,-8,
Distributed_PV_CA_PGE_CEN_120053865,Distributed_PV,120053865,CA_PGE_CEN,20.8561906,,-8,
Distributed_PV_CA_SMUD_121253845,Distributed_PV,121253845,CA_SMUD,57.010219,,-8,
Distributed_PV_CA_PGE_BAY_121753795,Distributed_PV,121753795,CA_PGE_BAY,123.1927802,,-8,
Distributed_PV_CA_PGE_BAY_122253785,Distributed_PV,122253785,CA_PGE_BAY,100.438163,,-8,
Distributed_PV_CA_PGE_CEN_122053695,Distributed_PV,122053695,CA_PGE_CEN,48.2274562,,-8,
Distributed_PV_NV_N_115654095,Distributed_PV,115654095,NV_N,14.7598472,,-8,
Distributed_PV_WA_SEATAC_122054745,Distributed_PV,122054745,WA_SEATAC,12.5522306,,-8,
Distributed_PV_WA_SEATAC_122454715,Distributed_PV,122454715,WA_SEATAC,46.868787,,-8,
Distributed_PV_WA_W_122654765,Distributed_PV,122654765,WA_W,16.8579222,,-8,
Distributed_PV_OR_WA_BPA_119254625,Distributed_PV,119254625,OR_WA_BPA,34.1946472,,-8,
Distributed_PV_CA_SCE_CEN_116853425,Distributed_PV,116853425,CA_SCE_CEN,9.9090978,,-8,
Distributed_PV_CA_PGE_CEN_121753695,Distributed_PV,121753695,CA_PGE_CEN,56.0146272,,-8,
Distributed_PV_CA_PGE_N_122553805,Distributed_PV,122553805,CA_PGE_N,51.488969,,-8,
Distributed_PV_CA_PGE_N_122853865,Distributed_PV,122853865,CA_PGE_N,9.4718148,,-8,
Distributed_PV_CA_SCE_S_117753415,Distributed_PV,117753415,CA_SCE_S,30.0338332,,-8,
Distributed_PV_CA_SCE_CEN_119253425,Distributed_PV,119253425,CA_SCE_CEN,239.6434516,,-8,
Distributed_PV_CA_PGE_S_120153605,Distributed_PV,120153605,CA_PGE_S,12.9630116,,-8,
Distributed_PV_CA_PGE_S_120353615,Distributed_PV,120353615,CA_PGE_S,10.3075112,,-8,
Distributed_PV_CA_PGE_CEN_121153745,Distributed_PV,121153745,CA_PGE_CEN,10.2527404,,-8,
Distributed_PV_CA_PGE_CEN_121253635,Distributed_PV,121253635,CA_PGE_CEN,11.1158222,,-8,
Distributed_PV_CA_PGE_CEN_121653665,Distributed_PV,121653665,CA_PGE_CEN,133.446404,,-8,
Distributed_PV_CA_PGE_CEN_121653675,Distributed_PV,121653675,CA_PGE_CEN,14.5160288,,-8,
Distributed_PV_WA_W_123854695,Distributed_PV,123854695,WA_W,22.5779372,,-8,
Distributed_PV_WA_W_121954725,Distributed_PV,121954725,WA_W,9.8198744,,-8,
Distributed_PV_WA_SEATAC_122154715,Distributed_PV,122154715,WA_SEATAC,18.882675,,-8,
Distributed_PV_WA_SEATAC_122154795,Distributed_PV,122154795,WA_SEATAC,80.8204992,,-8,
Distributed_PV_CA_SCE_CEN_118053465,Distributed_PV,118053465,CA_SCE_CEN,103.066278,,-8,
Distributed_PV_CA_SDGE_116853305,Distributed_PV,116853305,CA_SDGE,13.8614294,,-8,
Distributed_PV_CA_SDGE_117253305,Distributed_PV,117253305,CA_SDGE,51.2495676,,-8,
Distributed_PV_CA_SCE_S_117953365,Distributed_PV,117953365,CA_SCE_S,96.0467816,,-8,
Distributed_PV_CA_LADWP_118453415,Distributed_PV,118453415,CA_LADWP,16320.01994,,-8,
Distributed_PV_CA_PGE_S_118953525,Distributed_PV,118953525,CA_PGE_S,11.7456864,,-8,
Distributed_PV_CA_SCE_VLY_119053605,Distributed_PV,119053605,CA_SCE_VLY,34.995891,,-8,
Distributed_PV_CA_PGE_CEN_120253715,Distributed_PV,120253715,CA_PGE_CEN,9.8295918,,-8,
Distributed_PV_CA_PGE_N_121353885,Distributed_PV,121353885,CA_PGE_N,9.898497,,-8,
Distributed_PV_CA_PGE_BAY_121853765,Distributed_PV,121853765,CA_PGE_BAY,56.2319436,,-8,
Distributed_PV_CA_PGE_BAY_121953785,Distributed_PV,121953785,CA_PGE_BAY,56.131236,,-8,
Distributed_PV_CA_PGE_BAY_122153765,Distributed_PV,122153765,CA_PGE_BAY,173.6393372,,-8,
Distributed_PV_NV_S_114953615,Distributed_PV,114953615,NV_S,137.916408,,-8,
Distributed_PV_NV_S_115153625,Distributed_PV,115153625,NV_S,102.0220992,,-8,
Distributed_PV_OR_E_121354405,Distributed_PV,121354405,OR_E,45.9624186,,-8,
Distributed_PV_OR_PDX_122854585,Distributed_PV,122854585,OR_PDX,10.238606,,-8,
Distributed_PV_OR_W_123254445,Distributed_PV,123254445,OR_W,43.5710548,,-8,
Distributed_PV_WA_W_122954615,Distributed_PV,122954615,WA_W,30.618644,,-8,
Distributed_PV_WA_SEATAC_122354725,Distributed_PV,122354725,WA_SEATAC,91.0237692,,-8,
Distributed_PV_WA_SEATAC_122054735,Distributed_PV,122054735,WA_SEATAC,24.9922694,,-8,
Distributed_PV_WA_SEATAC_122154735,Distributed_PV,122154735,WA_SEATAC,9.6034414,,-8,
Distributed_PV_CA_SCE_S_118053405,Distributed_PV,118053405,CA_SCE_S,102.443481,,-8,
Distributed_PV_CA_SCE_CEN_117453455,Distributed_PV,117453455,CA_SCE_CEN,16.016042,,-8,
Distributed_PV_CA_SCE_CEN_117853435,Distributed_PV,117853435,CA_SCE_CEN,43.653211,,-8,
Distributed_PV_CA_PGE_BAY_121853735,Distributed_PV,121853735,CA_PGE_BAY,797.7773384,,-8,
Distributed_PV_CA_PGE_BAY_121953725,Distributed_PV,121953725,CA_PGE_BAY,63.0579754,,-8,
Distributed_PV_CA_PGE_BAY_121953775,Distributed_PV,121953775,CA_PGE_BAY,65.985563,,-8,
Distributed_PV_CA_PGE_N_122153825,Distributed_PV,122153825,CA_PGE_N,84.9636452,,-8,
Distributed_PV_NV_N_119753885,Distributed_PV,119753885,NV_N,16.3508506,,-8,
Distributed_PV_OR_W_122554205,Distributed_PV,122554205,OR_W,17.2457348,,-8,
Distributed_PV_OR_W_123054465,Distributed_PV,123054465,OR_W,36.6637502,,-8,
Distributed_PV_WA_W_122154805,Distributed_PV,122154805,WA_W,22.363271,,-8,
Distributed_PV_WA_ID_AVA_116954635,Distributed_PV,116954635,WA_ID_AVA,27.3005936,,-8,
Distributed_PV_CA_SCE_S_117953395,Distributed_PV,117953395,CA_SCE_S,52.0976316,,-8,
Distributed_PV_CA_SCE_CEN_118153485,Distributed_PV,118153485,CA_SCE_CEN,12.6759066,,-8,
Distributed_PV_CA_SCE_CEN_118853425,Distributed_PV,118853425,CA_SCE_CEN,27.752011,,-8,
Distributed_PV_CA_PGE_S_119453585,Distributed_PV,119453585,CA_PGE_S,12.7721972,,-8,
Distributed_PV_CA_PGE_N_121553955,Distributed_PV,121553955,CA_PGE_N,11.4877336,,-8,
Distributed_PV_CA_PGE_N_121653875,Distributed_PV,121653875,CA_PGE_N,43.4199934,,-8,
Distributed_PV_CA_PGE_N_121753985,Distributed_PV,121753985,CA_PGE_N,52.9633636,,-8,
Distributed_PV_CA_PGE_N_121853845,Distributed_PV,121853845,CA_PGE_N,14.2253902,,-8,
Distributed_PV_ID_S_OR_E_118054535,Distributed_PV,118054535,ID_S_OR_E,11.6988662,,-8,
Distributed_PV_OR_W_123054385,Distributed_PV,123054385,OR_W,67.142817,,-8,
