ep_id,month,avg_capacity_factor_hydro
5000076,4,0.29017
5000076,5,0.36467
5000076,6,0.28571
5000076,7,0.29679
5000076,8,0.26650
5000076,9,0.20013
5000076,10,0.12288
5000076,11,0.03471
5000076,12,0.04954
5000077,1,0.12599
5000077,2,0.07738
5000077,3,0.09177
5000077,4,0.06944
5000077,5,0.11210
5000077,6,0.10962
5000077,7,0.03919
5000077,8,0.05407
5000077,9,0.07589
5000077,10,0.11756
5000077,11,0.12302
5000077,12,0.14931
5000078,1,0.12599
5000078,2,0.07738
5000078,3,0.09177
5000078,4,0.06944
5000078,5,0.11210
5000078,6,0.10962
5000078,7,0.03919
5000078,8,0.05407
5000078,9,0.07589
5000078,10,0.11756
5000078,11,0.12302
5000078,12,0.14931
5000079,1,0.45657
5000079,2,0.45339
5000079,3,0.52860
5000079,4,0.60117
5000079,5,0.68962
5000079,6,0.69809
5000079,7,0.69809
5000079,8,0.60593
5000079,9,0.46875
5000079,10,0.38189
5000079,11,0.38347
5000079,12,0.42267
5000080,1,0.45657
5000080,2,0.45339
5000080,3,0.52860
5000080,4,0.60117
5000080,5,0.68962
5000080,6,0.69809
5000080,7,0.69809
5000080,8,0.60593
5000080,9,0.46875
5000080,10,0.38189
5000080,11,0.38347
5000080,12,0.42267
5000081,1,0.29167
5000081,2,0.28241
5000081,3,0.31944
5000081,4,0.37037
5000081,5,0.41204
5000081,6,0.41667
5000081,7,0.39815
5000081,8,0.36111
5000081,9,0.29630
5000081,10,0.26852
5000081,11,0.26852
5000081,12,0.27315
5000082,1,0.48438
5000082,2,0.48438
5000082,3,0.64063
5000082,4,0.77344
5000082,5,0.84375
5000082,6,0.89063
5000082,7,0.92188
5000082,8,0.85938
5000082,9,0.69531
5000082,10,0.36719
5000082,11,0.34375
5000082,12,0.45313
5000083,1,0.05879
5000083,2,0.04197
5000083,3,0.10538
5000083,4,0.38720
5000083,5,0.58015
5000083,6,0.81250
5000083,7,0.74886
5000083,8,0.48159
5000083,9,0.18189
5000083,10,0.07871
5000083,11,0.01038
5000083,12,0.00902
5000084,1,0.32771
5000084,2,0.49502
5000084,3,0.69232
5000084,4,0.77100
5000084,5,0.85184
5000084,6,0.84654
5000084,7,0.68820
5000084,8,0.47803
5000084,9,0.38323
5000084,10,0.33366
5000084,11,0.32933
5000084,12,0.33669
5000085,1,0.32771
5000085,2,0.49502
5000085,3,0.69232
5000085,4,0.77100
5000085,5,0.85184
5000085,6,0.84654
5000085,7,0.68820
5000085,8,0.47803
5000085,9,0.38323
5000085,10,0.33366
5000085,11,0.32933
5000085,12,0.33669
5000086,1,0.36310
5000086,2,0.33661
5000086,3,0.47173
5000086,4,0.56935
5000086,5,0.70268
5000086,6,0.70893
5000086,7,0.73988
5000086,8,0.69583
5000086,9,0.50536
5000086,10,0.23482
5000086,11,0.28839
5000086,12,0.38542
5000087,1,0.36310
5000087,2,0.33661
5000087,3,0.47173
5000087,4,0.56935
5000087,5,0.70268
5000087,6,0.70893
5000087,7,0.73988
5000087,8,0.69583
5000087,9,0.50536
5000087,10,0.23482
5000087,11,0.28839
5000087,12,0.38542
5000088,1,0.53164
5000088,2,0.57176
5000088,3,0.55556
5000088,4,0.70988
5000088,5,0.78549
5000088,6,0.64892
5000088,7,0.83256
5000088,8,0.73843
5000088,9,0.65895
5000088,10,0.46914
5000088,11,0.36188
5000088,12,0.50231
5000089,1,0.32143
5000089,2,0.28125
5000089,3,0.48214
5000089,4,0.51786
5000089,5,0.58036
5000089,6,0.58036
5000089,7,0.38393
5000089,8,0.42857
5000089,9,0.60268
5000089,10,0.56696
5000089,11,0.35268
5000089,12,0.16071
5000090,1,0.24063
5000090,2,0.19063
5000090,3,0.47188
5000090,4,0.44688
5000090,5,0.49063
5000090,6,0.46250
5000090,7,0.32813
5000090,8,0.37188
5000090,9,0.53750
5000090,10,0.51563
5000090,11,0.31250
5000090,12,0.17500
5000091,1,0.19643
5000091,2,0.20833
5000091,3,0.24405
5000091,4,0.31548
5000091,5,0.37500
5000091,6,0.39286
5000091,7,0.38095
5000091,8,0.33929
5000091,9,0.24405
5000091,10,0.16667
5000091,11,0.16071
5000091,12,0.17857
5000092,1,0.43008
5000092,2,0.42585
5000092,3,0.47246
5000092,4,0.54873
5000092,5,0.61864
5000092,6,0.62924
5000092,7,0.59958
5000092,8,0.52966
5000092,9,0.43432
5000092,10,0.37500
5000092,11,0.37288
5000092,12,0.40042
5000093,1,0.55000
5000093,2,0.62083
5000093,3,0.80000
5000093,4,0.93542
5000093,5,0.98750
5000093,6,0.93125
5000093,7,0.78542
5000093,8,0.49583
5000093,9,0.61250
5000093,10,0.60208
5000093,11,0.57083
5000093,12,0.53542
5000094,1,0.50015
5000094,2,0.50611
5000094,3,0.56136
5000094,4,0.61233
5000094,5,0.65049
5000094,6,0.59463
5000094,7,0.62836
5000094,8,0.65888
5000094,9,0.59447
5000094,10,0.45971
5000094,11,0.33333
5000094,12,0.53953
5000095,1,0.52083
5000095,2,0.47749
5000095,3,0.54765
5000095,4,0.53927
5000095,5,0.61758
5000095,6,0.76700
5000095,7,0.81394
5000095,8,0.74497
5000095,9,0.61901
5000095,10,0.45905
5000095,11,0.53855
5000095,12,0.55196
5000096,1,0.56176
5000096,2,0.55515
5000096,3,0.65588
5000096,4,0.77500
5000096,5,0.90956
5000096,6,0.90000
5000096,7,0.92059
5000096,8,0.79706
5000096,9,0.59485
5000096,10,0.47132
5000096,11,0.46029
5000096,12,0.49485
5000097,1,0.09470
5000097,2,0.12121
5000097,3,0.29167
5000097,4,0.40152
5000097,5,0.50000
5000097,6,0.57576
5000097,7,0.64394
5000097,8,0.55303
5000097,9,0.33333
5000097,10,0.14015
5000097,11,0.09091
5000097,12,0.10227
5000098,1,0.12784
5000098,2,0.15909
5000098,3,0.29261
5000098,4,0.35511
5000098,5,0.44034
5000098,6,0.48864
5000098,7,0.54261
5000098,8,0.46591
5000098,9,0.26989
5000098,10,0.16193
5000098,11,0.07955
5000098,12,0.09659
5000099,1,0.65349
5000099,2,0.64063
5000099,3,0.75643
5000099,4,0.62868
5000099,5,0.68566
5000099,6,0.88419
5000099,7,0.91268
5000099,8,0.86397
5000099,9,0.68199
5000099,10,0.49265
5000099,11,0.57629
5000099,12,0.63143
5000100,1,0.16964
5000100,2,0.16518
5000100,3,0.19196
5000100,4,0.23214
5000100,5,0.28125
5000100,6,0.28571
5000100,7,0.28125
5000100,8,0.24554
5000100,9,0.17857
5000100,10,0.13839
5000100,11,0.13839
5000100,12,0.14732
5000101,1,0.00000
