breakpoint_id,load_area,price_dollars_per_mbtu,mbtus_per_year,breakpoint_mbtus_per_year
9,ID_S_OR_E,5.43921293042867,3696630.59640111,65315131.0206198
1,MT_NE,1.38709677419355,258241.703641608,898923.9130519
2,MT_NE,2.08064516129032,177931.076262161,1076854.98931406
3,MT_NE,2.19354838709677,728837.915513453,1805692.90482751
4,MT_NE,2.9247311827957,356871.819578332,2162564.72440585
5,MT_NE,3.46774193548387,13859.4508384768,2176424.17524432
6,MT_NE,3.65591397849462,333906.956264077,2510331.1315084
7,MT_NE,3.82290934645116,3296176.91656199,5806508.04807039
8,MT_NE,4.16129032258065,96388.4095863585,5902896.45765675
9,MT_NE,5.43921293042867,9350365.20788908,15253261.6655458
1,MT_NW,1.38709677419355,568770.138172937,1077146.18863659
2,MT_NW,2.08064516129032,10877633.3278376,11954779.5164741
3,MT_NW,2.19354838709677,4429898.27722496,16384677.7936991
4,MT_NW,2.9247311827957,2169077.41106075,18553755.2047599
5,MT_NW,3.46774193548387,25202955.1830473,43756710.3878071
6,MT_NW,3.65591397849462,2029496.29660666,45786206.6844138
7,MT_NW,3.82290934645116,121174.81744065,45907381.5018544
8,MT_NW,4.16129032258065,106730.581491708,46014112.0833461
9,MT_NW,5.43921293042867,343740.223155553,46357852.3065017
1,MT_SE,1.38709677419355,167260.344106854,201818.437848066
2,MT_SE,2.08064516129032,124967.488876378,326785.926724445
3,MT_SE,2.19354838709677,426259.879406053,753045.806130498
4,MT_SE,2.9247311827957,208703.831245103,961749.637375601
5,MT_SE,3.46774193548387,32379.5708834115,994129.208259013
6,MT_SE,3.65591397849462,195277.845373411,1189407.05363242
7,MT_SE,3.82290934645116,288344.11394262,1477751.16757504
8,MT_SE,4.16129032258065,60934.739148174,1538685.90672322
9,MT_SE,5.43921293042867,793085.728534235,2331771.63525745
1,MT_SW,1.38709677419355,203168.552250673,334872.864443891
2,MT_SW,2.08064516129032,147867.458027754,482740.322471645
3,MT_SW,2.19354838709677,1066689.91168898,1549430.23416062
4,MT_SW,2.9247311827957,522190.402942111,2071620.63710274
5,MT_SW,3.46774193548387,24826.4113287308,2096447.04843147
6,MT_SW,3.65591397849462,488623.442387837,2585070.4908193
7,MT_SW,3.82290934645116,336629.668833179,2921700.15965248
8,MT_SW,4.16129032258065,70659.0908102193,2992359.2504627
9,MT_SW,5.43921293042867,861205.240393758,3853564.49085646
1,NM_N,1.38709677419355,1463409.04719968,3416661.2374249
2,NM_N,2.08064516129032,1153005.28753555,4569666.52496045
3,NM_N,2.19354838709677,411414.644399377,4981081.16935983
4,NM_N,2.9247311827957,197479.043830688,5178560.21319051
5,NM_N,3.46774193548387,587252.716890066,5765812.93008058
6,NM_N,3.65591397849462,187275.920280874,5953088.85036145
7,NM_N,3.82290934645116,456076.164568209,6409165.01492966
8,NM_N,4.16129032258065,445724.436293203,6854889.45122287
1,NM_S_TX_EPE,1.38709677419355,1389302.77524353,3349774.81255311
2,NM_S_TX_EPE,2.08064516129032,1146772.03676824,4496546.84932135
3,NM_S_TX_EPE,2.19354838709677,231477.800216083,4728024.64953744
4,NM_S_TX_EPE,2.9247311827957,111109.344398612,4839133.99393605
5,NM_S_TX_EPE,3.46774193548387,640439.628648231,5479573.62258428
6,NM_S_TX_EPE,3.65591397849462,105368.694729135,5584942.31731341
7,NM_S_TX_EPE,3.82290934645116,394518.538791284,5979460.8561047
8,NM_S_TX_EPE,4.16129032258065,606983.357821967,6586444.21392667
9,NM_S_TX_EPE,5.43921293042867,52854.4225688515,6639298.63649552
1,NV_N,1.38709677419355,827396.881510121,2292059.5434948
2,NV_N,2.08064516129032,638545.345952149,2930604.88944695
3,NV_N,2.19354838709677,66982.7722242632,2997587.66167121
4,NV_N,2.9247311827957,26293.0898696614,3023880.75154087
5,NV_N,3.46774193548387,96414.0373752856,3120294.78891616
6,NV_N,3.65591397849462,28674.2410726778,3148969.02998884
7,NV_N,3.82290934645116,167551.880880245,3316520.91086908
8,NV_N,4.16129032258065,165739.272978447,3482260.18384753
1,NV_S,1.38709677419355,1801598.12985775,4466297.39558348
2,NV_S,2.08064516129032,1203684.60212877,5669981.99771225
3,NV_S,3.46774193548387,2909.62267446308,5672891.62038671
4,NV_S,3.82290934645116,158.856166364671,5673050.47655308
5,NV_S,4.16129032258065,181331.512549095,5854381.98910217
1,OR_E,1.38709677419355,304037.125503352,645593.838420438
2,OR_E,2.08064516129032,4452123.53233887,5097717.37075931
3,OR_E,2.19354838709677,1386598.25595066,6484315.62670997
4,OR_E,2.9247311827957,668070.674394806,7152386.30110478
5,OR_E,3.46774193548387,9622319.88714482,16774706.1882496
6,OR_E,3.65591397849462,622685.669556219,17397391.8578058
7,OR_E,3.82290934645116,409773.717302948,17807165.5751088
8,OR_E,4.16129032258065,268751.837015873,18075917.4121246
9,OR_E,5.43921293042867,718467.599316909,18794385.0114415
1,OR_PDX,1.38709677419355,1490770.06145291,3268684.15489975
2,OR_PDX,2.08064516129032,5426761.19002987,8695445.34492963
3,OR_PDX,2.19354838709677,756772.988287421,9452218.33321705
4,OR_PDX,2.9247311827957,366417.242463852,9818635.5756809
5,OR_PDX,3.46774193548387,12043335.4295353,21861971.0052162
6,OR_PDX,3.65591397849462,342406.827092565,22204377.8323088
7,OR_PDX,3.82290934645116,98646.0291039466,22303023.8614128
8,OR_PDX,4.16129032258065,658722.006441452,22961745.8678542
9,OR_PDX,5.43921293042867,260397.705686116,23222143.5735403
1,OR_W,1.38709677419355,1827124.70597407,4732571.20117257
2,OR_W,2.08064516129032,26505008.0508646,31237579.2520371
3,OR_W,2.19354838709677,8797738.81017448,40035318.0622116
4,OR_W,2.9247311827957,4255058.47149084,44290376.5337024
5,OR_W,3.46774193548387,67635262.2132504,111925638.746953
6,OR_W,3.65591397849462,3974452.25535637,115900091.002309
7,OR_W,3.82290934645116,245815.966699034,116145906.969008
8,OR_W,4.16129032258065,1082159.46199397,117228066.431002
9,OR_W,5.43921293042867,462350.265915924,117690416.696918
1,OR_WA_BPA,1.38709677419355,609673.428568591,6484469.38629687
2,OR_WA_BPA,2.08064516129032,5043703.35543569,11528172.7417326
3,OR_WA_BPA,2.19354838709677,785804.189643906,12313976.9313765
4,OR_WA_BPA,2.9247311827957,380204.79139292,12694181.7227694
5,OR_WA_BPA,3.46774193548387,8262541.60151102,20956723.3242804
6,OR_WA_BPA,3.65591397849462,354596.113209151,21311319.4374896
7,OR_WA_BPA,3.82290934645116,5786544.27066419,27097863.7081537
8,OR_WA_BPA,4.16129032258065,349785.214342952,27447648.9224967
9,OR_WA_BPA,5.43921293042867,4833321.41070736,32280970.3332041
1,UT_N,1.38709677419355,2248939.647718,5842073.04020613
2,UT_N,2.08064516129032,1588038.36739757,7430111.4076037
3,UT_N,2.19354838709677,84511.0724788663,7514622.48008256
4,UT_N,2.9247311827957,40377.5124455125,7554999.99252808
5,UT_N,3.46774193548387,92259.9323372298,7647259.92486531
6,UT_N,3.65591397849462,37560.4766858848,7684820.40155119
7,UT_N,3.82290934645116,879982.118219472,8564802.51977066
8,UT_N,4.16129032258065,48792.4884901272,8613595.00826079
1,UT_S,1.38709677419355,662247.627898013,1664313.78509302
2,UT_S,2.08064516129032,978690.136715963,2643003.92180899
3,UT_S,2.19354838709677,217824.590569829,2860828.51237881
4,UT_S,2.9247311827957,104131.606381829,2964960.11876064
5,UT_S,3.46774193548387,559307.416324757,3524267.5350854
6,UT_S,3.65591397849462,96822.1375607959,3621089.6726462
7,UT_S,3.82290934645116,292272.462237162,3913362.13488336
8,UT_S,4.16129032258065,306073.362336204,4219435.49721956
1,WA_ID_AVA,1.38709677419355,1393964.60545515,2268421.3726811
2,WA_ID_AVA,2.08064516129032,18310047.8958867,20578469.2685678
3,WA_ID_AVA,2.19354838709677,8014436.23111544,28592905.4996833
4,WA_ID_AVA,2.9247311827957,3926490.95701689,32519396.4567001
5,WA_ID_AVA,3.46774193548387,30558725.3007315,63078121.7574316
