breakpoint_id,load_area,year,price_dollars_per_mmbtu,breakpoint_mmbtu_per_year
4,AZ_APS_E,2048,4.7604,7228078
5,AZ_APS_E,2048,565.1593,7252959
6,AZ_APS_E,2048,1213.9689,7263336
7,AZ_APS_E,2048,1248.8130,7271113
8,AZ_APS_E,2048,1634.5481,7280030
9,AZ_APS_E,2048,999999999.0000,
1,AZ_APS_E,2049,1.8640,681448
2,AZ_APS_E,2049,3.8482,996270
3,AZ_APS_E,2049,4.4504,4126082
4,AZ_APS_E,2049,4.7604,7228078
5,AZ_APS_E,2049,565.1593,7252959
6,AZ_APS_E,2049,1213.9689,7263336
7,AZ_APS_E,2049,1248.8130,7271113
8,AZ_APS_E,2049,1634.5481,7280030
9,AZ_APS_E,2049,999999999.0000,
1,AZ_APS_E,2050,1.8640,681448
2,AZ_APS_E,2050,3.8482,996270
3,AZ_APS_E,2050,4.4504,4126082
4,AZ_APS_E,2050,4.7604,7228078
5,AZ_APS_E,2050,565.1593,7252959
6,AZ_APS_E,2050,1213.9689,7263336
7,AZ_APS_E,2050,1248.8130,7271113
8,AZ_APS_E,2050,1634.5481,7280030
9,AZ_APS_E,2050,999999999.0000,
1,AZ_APS_E,2051,1.8640,681448
2,AZ_APS_E,2051,3.8482,996270
3,AZ_APS_E,2051,4.4504,4126082
4,AZ_APS_E,2051,4.7604,7228078
5,AZ_APS_E,2051,565.1593,7252959
6,AZ_APS_E,2051,1213.9689,7263336
7,AZ_APS_E,2051,1248.8130,7271113
8,AZ_APS_E,2051,1634.5481,7280030
9,AZ_APS_E,2051,999999999.0000,
1,AZ_APS_E,2052,1.8640,681448
2,AZ_APS_E,2052,3.8482,996270
3,AZ_APS_E,2052,4.4504,4126082
4,AZ_APS_E,2052,4.7604,7228078
5,AZ_APS_E,2052,565.1593,7252959
6,AZ_APS_E,2052,1213.9689,7263336
7,AZ_APS_E,2052,1248.8130,7271113
8,AZ_APS_E,2052,1634.5481,7280030
9,AZ_APS_E,2052,999999999.0000,
1,AZ_APS_E,2053,1.8640,681448
2,AZ_APS_E,2053,3.8482,996270
3,AZ_APS_E,2053,4.4504,4126082
4,AZ_APS_E,2053,4.7604,7228078
5,AZ_APS_E,2053,565.1593,7252959
6,AZ_APS_E,2053,1213.9689,7263336
7,AZ_APS_E,2053,1248.8130,7271113
8,AZ_APS_E,2053,1634.5481,7280030
9,AZ_APS_E,2053,999999999.0000,
