ampl.tab 1 5
hour	period	date	hours_in_sample	month_of_year	hour_of_day
2020022108	2018	20200221	226.0	2	8
2020022110	2018	20200221	226.0	2	10
2020022112	2018	20200221	226.0	2	12
2020022114	2018	20200221	226.0	2	14
2020022116	2018	20200221	226.0	2	16
2020022118	2018	20200221	226.0	2	18
2020022120	2018	20200221	226.0	2	20
2020022122	2018	20200221	226.0	2	22
2020030600	2018	20200306	240.0	3	0
2020030602	2018	20200306	240.0	3	2
2020030604	2018	20200306	240.0	3	4
2020030606	2018	20200306	240.0	3	6
2020030608	2018	20200306	240.0	3	8
2020030610	2018	20200306	240.0	3	10
2020030612	2018	20200306	240.0	3	12
2020030614	2018	20200306	240.0	3	14
2020030616	2018	20200306	240.0	3	16
2020030618	2018	20200306	240.0	3	18
2020030620	2018	20200306	240.0	3	20
2020030622	2018	20200306	240.0	3	22
2020032501	2018	20200325	8.0	3	1
2020032503	2018	20200325	8.0	3	3
2020032505	2018	20200325	8.0	3	5
2020032507	2018	20200325	8.0	3	7
2020032509	2018	20200325	8.0	3	9
2020032511	2018	20200325	8.0	3	11
2020032513	2018	20200325	8.0	3	13
2020032515	2018	20200325	8.0	3	15
2020032517	2018	20200325	8.0	3	17
2020032519	2018	20200325	8.0	3	19
2020032521	2018	20200325	8.0	3	21
2020032523	2018	20200325	8.0	3	23
2020040300	2018	20200403	232.0	4	0
2020040302	2018	20200403	232.0	4	2
2020040304	2018	20200403	232.0	4	4
2020040306	2018	20200403	232.0	4	6
2020040308	2018	20200403	232.0	4	8
2020040310	2018	20200403	232.0	4	10
2020040312	2018	20200403	232.0	4	12
2020040314	2018	20200403	232.0	4	14
2020040316	2018	20200403	232.0	4	16
2020040318	2018	20200403	232.0	4	18
2020040320	2018	20200403	232.0	4	20
2020040322	2018	20200403	232.0	4	22
2020042101	2018	20200421	8.0	4	1
2020042103	2018	20200421	8.0	4	3
2020042105	2018	20200421	8.0	4	5
2020042107	2018	20200421	8.0	4	7
2020042109	2018	20200421	8.0	4	9
2020042111	2018	20200421	8.0	4	11
2020042113	2018	20200421	8.0	4	13
2020042115	2018	20200421	8.0	4	15
2020042117	2018	20200421	8.0	4	17
2020042119	2018	20200421	8.0	4	19
2020042121	2018	20200421	8.0	4	21
2020042123	2018	20200421	8.0	4	23
2020051500	2018	20200515	240.0	5	0
2020051502	2018	20200515	240.0	5	2
2020051504	2018	20200515	240.0	5	4
2020051506	2018	20200515	240.0	5	6
2020051508	2018	20200515	240.0	5	8
2020051510	2018	20200515	240.0	5	10
2020051512	2018	20200515	240.0	5	12
2020051514	2018	20200515	240.0	5	14
2020051516	2018	20200515	240.0	5	16
