ampl.tab 2 1		
year	technology	finance_rate_schedule
2016	Bio_Solid_Steam_Turbine_EP	0.07
2016	Bio_Solid_Steam_Turbine_Cogen_EP	0.07
2016	Central_PV	0.08
2016	CSP_Trough_6h_Storage	0.08
2016	Wind	0.08
2016	Wind_EP	0.07
2016	Nuclear	0.07
2016	DistillateFuelOil_Internal_Combustion_Engine	0.07
2016	DistillateFuelOil_Combustion_Turbine_EP	0.07
2016	DistillateFuelOil_Internal_Combustion_Engine_EP	0.07
2016	Coal_Steam_Turbine_EP	0.07
2016	Biomass_Steam_Turbine	0.07
2016	DistillateFuelOil_Combustion_Turbine	0.07
2016	Hydro_NonPumped	0.07
2016	Hydro_RoR_EP	0.07
2016	Hydro_RoR	0.07
2016	Hydro_NonPumped_New	0.07
2016	Hydro_RoR_RPS	0.07
2016	Geothermal	0.13
2017	Gas_Steam_Turbine_Cogen	0.07
2017	CCGT_Cogen	0.07
2017	CCGT_Cogen_CCS	0.07
2017	CCGT_CCS	0.07
2017	CCGT_Cogen_Existing	0.07
2017	Gas_Combustion_Turbine_Cogen	0.07
2017	Gas_Combustion_Turbine_Cogen_CCS	0.07
2017	Gas_Combustion_Turbine_CCS	0.07
2017	Gas_Combustion_Turbine_Cogen_Existing	0.07
2017	Gas_Internal_Combustion_Engine_Cogen	0.07
2017	Gas_Internal_Combustion_Engine_Cogen_CCS	0.07
2017	Gas_Internal_Combustion_Engine_Existing	0.07
2017	Gas_Internal_Combustion_Engine_Cogen_Existing	0.07
2017	Battery_Storage	0.07
2017	Gas_Steam_Turbine_Cogen_CCS	0.07
2017	Gas_Steam_Turbine_Existing	0.07
2017	Gas_Steam_Turbine_Cogen_Existing	0.07
2017	Bio_Gas	0.07
2017	Coal_Steam_Turbine_Cogen_CCS	0.07
2017	Bio_Gas_CCS	0.07
2017	Bio_Gas_Internal_Combustion_Engine_Cogen	0.07
2017	Bio_Gas_Internal_Combustion_Engine_Cogen_CCS	0.07
2017	Bio_Gas_Internal_Combustion_Engine_Cogen_Existing	0.07
2017	Bio_Gas_Steam_Turbine_Existing	0.07
2017	Bio_Liquid_Steam_Turbine_Cogen	0.07
2017	Bio_Liquid_Steam_Turbine_Cogen_CCS	0.07
2017	Biomass_IGCC	0.07
2017	Biomass_IGCC_CCS	0.07
2017	Bio_Solid_Steam_Turbine_Cogen	0.07
2017	Bio_Solid_Steam_Turbine_Cogen_CCS	0.07
2017	Bio_Gas_Internal_Combustion_Engine_EP	0.07
2017	Coal_Steam_Turbine_CCS	0.07
2017	Coal_Steam_Turbine_Cogen	0.07
2017	Coal_Steam_Turbine_Cogen_Existing	0.07
2017	Coal_IGCC	0.07
2017	Coal_IGCC_CCS	0.07
2017	Nuclear_Existing	0.07
2017	Geothermal_Existing	0.07
2017	Residential_PV	0.07
2017	Commercial_PV	0.08
2017	Concentrating_PV	0.08
2017	CSP_Trough_No_Storage	0.08
2017	Offshore_Wind	0.07
2017	Hydro_Pumped	0.07
2017	Compressed_Air_Energy_Storage	0.07
2017	Coal_IGCC_Existing	0.07
2017	CCGT	0.07
2017	Gas_Combustion_Turbine	0.07
2017	CCGT_EP	0.07
2017	Gas_Combustion_Turbine_EP	0.07
2017	Coal_Steam_Turbine	0.07
2017	Bio_Liquid_Steam_Turbine_Cogen_EP	0.07
2017	Bio_Solid_Steam_Turbine_EP	0.07
2017	Bio_Solid_Steam_Turbine_Cogen_EP	0.07
2017	Central_PV	0.08
2017	CSP_Trough_6h_Storage	0.08
2017	Wind	0.08
2017	Wind_EP	0.07
2017	Nuclear	0.07
2017	DistillateFuelOil_Internal_Combustion_Engine	0.07
2017	DistillateFuelOil_Combustion_Turbine_EP	0.07
2017	DistillateFuelOil_Internal_Combustion_Engine_EP	0.07
2017	Coal_Steam_Turbine_EP	0.07
2017	Biomass_Steam_Turbine	0.07
2017	DistillateFuelOil_Combustion_Turbine	0.07
2017	Hydro_NonPumped	0.07
2017	Hydro_RoR_EP	0.07
2017	Hydro_RoR	0.07
2017	Hydro_NonPumped_New	0.07
2017	Hydro_RoR_RPS	0.07
2017	Geothermal	0.13
2018	Gas_Steam_Turbine_Cogen	0.07
2018	CCGT_Cogen	0.07
2018	CCGT_Cogen_CCS	0.07
2018	CCGT_CCS	0.07
2018	CCGT_Cogen_Existing	0.07
2018	Gas_Combustion_Turbine_Cogen	0.07
2018	Gas_Combustion_Turbine_Cogen_CCS	0.07
2018	Gas_Combustion_Turbine_CCS	0.07
2018	Gas_Combustion_Turbine_Cogen_Existing	0.07
2018	Gas_Internal_Combustion_Engine_Cogen	0.07
2018	Gas_Internal_Combustion_Engine_Cogen_CCS	0.07
2018	Gas_Internal_Combustion_Engine_Existing	0.07
2018	Gas_Internal_Combustion_Engine_Cogen_Existing	0.07
2018	Battery_Storage	0.07
2018	Gas_Steam_Turbine_Cogen_CCS	0.07
2018	Gas_Steam_Turbine_Existing	0.07
2018	Gas_Steam_Turbine_Cogen_Existing	0.07
2018	Bio_Gas	0.07
2018	Coal_Steam_Turbine_Cogen_CCS	0.07
2018	Bio_Gas_CCS	0.07
2018	Bio_Gas_Internal_Combustion_Engine_Cogen	0.07
2018	Bio_Gas_Internal_Combustion_Engine_Cogen_CCS	0.07
2018	Bio_Gas_Internal_Combustion_Engine_Cogen_Existing	0.07
2018	Bio_Gas_Steam_Turbine_Existing	0.07
2018	Bio_Liquid_Steam_Turbine_Cogen	0.07
2018	Bio_Liquid_Steam_Turbine_Cogen_CCS	0.07
2018	Biomass_IGCC	0.07
2018	Biomass_IGCC_CCS	0.07
2018	Bio_Solid_Steam_Turbine_Cogen	0.07
2018	Bio_Solid_Steam_Turbine_Cogen_CCS	0.07
2018	Bio_Gas_Internal_Combustion_Engine_EP	0.07
2018	Coal_Steam_Turbine_CCS	0.07
2018	Coal_Steam_Turbine_Cogen	0.07
2018	Coal_Steam_Turbine_Cogen_Existing	0.07
2018	Coal_IGCC	0.07
2018	Coal_IGCC_CCS	0.07
2018	Nuclear_Existing	0.07
2018	Geothermal_Existing	0.07
2018	Residential_PV	0.07
2018	Commercial_PV	0.08
2018	Concentrating_PV	0.08
2018	CSP_Trough_No_Storage	0.08
2018	Offshore_Wind	0.07
2018	Hydro_Pumped	0.07
2018	Compressed_Air_Energy_Storage	0.07
2018	Coal_IGCC_Existing	0.07
2018	CCGT	0.07
2018	Gas_Combustion_Turbine	0.07
2018	CCGT_EP	0.07
2018	Gas_Combustion_Turbine_EP	0.07
2018	Coal_Steam_Turbine	0.07
2018	Bio_Liquid_Steam_Turbine_Cogen_EP	0.07
2018	Bio_Solid_Steam_Turbine_EP	0.07
2018	Bio_Solid_Steam_Turbine_Cogen_EP	0.07
2018	Central_PV	0.08
2018	CSP_Trough_6h_Storage	0.08
2018	Wind	0.08
2018	Wind_EP	0.07
2018	Nuclear	0.07
2018	DistillateFuelOil_Internal_Combustion_Engine	0.07
2018	DistillateFuelOil_Combustion_Turbine_EP	0.07
2018	DistillateFuelOil_Internal_Combustion_Engine_EP	0.07
2018	Coal_Steam_Turbine_EP	0.07
2018	Biomass_Steam_Turbine	0.07
2018	DistillateFuelOil_Combustion_Turbine	0.07
2018	Hydro_NonPumped	0.07
2018	Hydro_RoR_EP	0.07
2018	Hydro_RoR	0.07
2018	Hydro_NonPumped_New	0.07
2018	Hydro_RoR_RPS	0.07
2018	Geothermal	0.13
2019	Gas_Steam_Turbine_Cogen	0.07
2019	CCGT_Cogen	0.07
2019	CCGT_Cogen_CCS	0.07
2019	CCGT_CCS	0.07
2019	CCGT_Cogen_Existing	0.07
2019	Gas_Combustion_Turbine_Cogen	0.07
2019	Gas_Combustion_Turbine_Cogen_CCS	0.07
2019	Gas_Combustion_Turbine_CCS	0.07
2019	Gas_Combustion_Turbine_Cogen_Existing	0.07
2019	Gas_Internal_Combustion_Engine_Cogen	0.07
2019	Gas_Internal_Combustion_Engine_Cogen_CCS	0.07
2019	Gas_Internal_Combustion_Engine_Existing	0.07
2019	Gas_Internal_Combustion_Engine_Cogen_Existing	0.07
2019	Battery_Storage	0.07
2019	Gas_Steam_Turbine_Cogen_CCS	0.07
2019	Gas_Steam_Turbine_Existing	0.07
2019	Gas_Steam_Turbine_Cogen_Existing	0.07
2019	Bio_Gas	0.07
2019	Coal_Steam_Turbine_Cogen_CCS	0.07
2019	Bio_Gas_CCS	0.07
2019	Bio_Gas_Internal_Combustion_Engine_Cogen	0.07
2019	Bio_Gas_Internal_Combustion_Engine_Cogen_CCS	0.07
2019	Bio_Gas_Internal_Combustion_Engine_Cogen_Existing	0.07
2019	Bio_Gas_Steam_Turbine_Existing	0.07
2019	Bio_Liquid_Steam_Turbine_Cogen	0.07
2019	Bio_Liquid_Steam_Turbine_Cogen_CCS	0.07
2019	Biomass_IGCC	0.07
2019	Biomass_IGCC_CCS	0.07
