ampl.tab 2
location_id	load_area
5272	CAN_ALB
6352	CAN_ALB
4425	CAN_ALB
4411	CAN_ALB
6494	CAN_ALB
6254	CAN_ALB
5374	CAN_ALB
5906	CAN_ALB
5984	CAN_ALB
6043	CAN_ALB
5736	CAN_ALB
5597	CAN_ALB
5598	CAN_ALB
5411	CAN_ALB
5433	CAN_ALB
5413	CAN_ALB
5302	CAN_ALB
5041	AZ_APS_N
6784	AZ_NM_N
6790	AZ_NM_N
2824	NV_S
6801	UT_S
4996	AZ_APS_N
4997	AZ_APS_N
6802	UT_S
6700	AZ_NM_N
6706	AZ_NM_N
3351	NV_S
3369	NV_S
2089	CA_SCE_CEN
2086	CA_SCE_CEN
7830	AZ_NM_N
3359	MEX_BAJA
3358	MEX_BAJA
3347	MEX_BAJA
9546	NM_S_TX_EPE
9723	NM_S_TX_EPE
9547	NM_S_TX_EPE
9507	NM_S_TX_EPE
6112	AZ_SE
7741	NM_S_TX_EPE
8922	NM_S_TX_EPE
8850	NM_S_TX_EPE
6581	AZ_NM_N
7208	NM_S_TX_EPE
7166	NM_S_TX_EPE
6582	AZ_NM_N
6841	AZ_NM_N
8932	NM_N
8913	NM_N
6856	AZ_NM_N
3384	NV_S
3382	NV_S
4541	AZ_APS_N
6839	AZ_NM_N
6849	AZ_NM_N
7635	AZ_NM_N
6381	AZ_APS_E
6405	AZ_APS_E
8179	NM_N
6400	AZ_APS_E
6401	AZ_APS_E
7030	AZ_APS_E
5639	AZ_APS_N
7549	AZ_NM_N
10705	NM_N
8133	NM_N
6606	AZ_NM_N
7525	AZ_NM_N
4746	AZ_APS_N
4765	AZ_APS_N
6362	AZ_APS_E
6404	AZ_APS_E
5102	AZ_APS_N
2711	NV_S
5101	AZ_APS_N
6745	AZ_NM_N
6729	AZ_NM_N
5938	AZ_APS_N
5927	AZ_APS_N
5052	AZ_APS_N
6482	ID_E
