ampl.tab 3 8
project_id	load_area	technology	location_id	ep_project_replacement_id	capacity_limit	capacity_limit_conversion	heat_rate	cogen_thermal_demand	connect_cost_per_mw	average_capacity_factor_intermittent
1104128	AZ_APS_N	Central_PV	103018	0	78.98999786376953	33.060001373291016	0	0	45746.5	0.30282101035118103
1104129	AZ_APS_N	CSP_Trough_No_Storage	103018	0	78.98999786376953	43.369998931884766	0	0	45746.5	0.2341880053281784
1104130	AZ_APS_N	CSP_Trough_6h_Storage	103018	0	78.98999786376953	30.389999389648438	0	0	45746.5	0.3721329867839813
1104141	AZ_APS_N	CSP_Trough_No_Storage	102798	0	1.1699999570846558	41.77000045776367	0	0	49988.7	0.2506900131702423
1104142	AZ_APS_N	CSP_Trough_6h_Storage	102798	0	1.1699999570846558	29.350000381469727	0	0	49988.7	0.3968139886856079
1104446	AZ_APS_N	Central_PV	102990	0	7.670000076293945	33.18000030517578	0	0	46914.6	0.30491501092910767
1104888	AZ_APS_N	CSP_Trough_No_Storage	102877	0	7.110000133514404	42.81999969482422	0	0	52074.7	0.2304919958114624
1104889	AZ_APS_N	CSP_Trough_6h_Storage	102877	0	7.110000133514404	29.989999771118164	0	0	52074.7	0.3667980134487152
1104932	AZ_APS_N	Central_PV	103077	0	5.159999847412109	31.860000610351562	0	0	63509.8	0.3048290014266968
1104933	AZ_APS_N	CSP_Trough_No_Storage	103077	0	5.159999847412109	43.369998931884766	0	0	63509.8	0.2352299988269806
1104934	AZ_APS_N	CSP_Trough_6h_Storage	103077	0	5.159999847412109	30.389999389648438	0	0	63509.8	0.37489598989486694
1104944	AZ_APS_N	Central_PV	102804	0	12.270000457763672	34.599998474121094	0	0	69254.7	0.30090001225471497
1104945	AZ_APS_N	CSP_Trough_No_Storage	102804	0	12.270000457763672	43.09000015258789	0	0	69254.7	0.2333959937095642
1104946	AZ_APS_N	CSP_Trough_6h_Storage	102804	0	12.270000457763672	30.1299991607666	0	0	69254.7	0.37363800406455994
1104953	AZ_APS_N	Central_PV	102602	0	11.380000114440918	35.06999969482422	0	0	78308.2	0.30084899067878723
1104954	AZ_APS_N	CSP_Trough_No_Storage	102602	0	11.380000114440918	42.029998779296875	0	0	78308.2	0.2554689943790436
1104955	AZ_APS_N	CSP_Trough_6h_Storage	102602	0	11.380000114440918	29.350000381469727	0	0	78308.2	0.40475699305534363
1104959	AZ_APS_N	Central_PV	102962	0	4.869999885559082	32.939998626708984	0	0	47302.9	0.3097060024738312
1104960	AZ_APS_N	CSP_Trough_No_Storage	102962	0	4.869999885559082	44.209999084472656	0	0	47302.9	0.2269590049982071
1104974	AZ_APS_N	Central_PV	102995	0	20.079999923706055	32.70000076293945	0	0	55299.7	0.30884799361228943
1104975	AZ_APS_N	CSP_Trough_No_Storage	102995	0	20.079999923706055	43.369998931884766	0	0	55299.7	0.23916299641132355
1104976	AZ_APS_N	CSP_Trough_6h_Storage	102995	0	20.079999923706055	30.389999389648438	0	0	55299.7	0.38092300295829773
1104977	AZ_APS_N	Central_PV	102736	0	236.6300048828125	33.29999923706055	0	0	79505.4	0.3032290041446686
1105274	AZ_APS_N	Central_PV	102375	0	2.9700000286102295	34.369998931884766	0	0	49348.7	0.3092760145664215
1105275	AZ_APS_N	CSP_Trough_No_Storage	102375	0	2.9700000286102295	42.54999923706055	0	0	49348.7	0.25498101115226746
1105276	AZ_APS_N	CSP_Trough_6h_Storage	102375	0	2.9700000286102295	29.729999542236328	0	0	49348.7	0.4052000045776367
1105439	AZ_APS_N	Central_PV	102679	0	36.97999954223633	33.65999984741211	0	0	49264.4	0.30746200680732727
1105440	AZ_APS_N	CSP_Trough_No_Storage	102679	0	36.97999954223633	43.369998931884766	0	0	49264.4	0.23270699381828308
