ampl.tab 4 1
project_id	load_area	technology	date	avg_capacity_factor_hydro
5000028	CA_LADWP	Hydro_NonPumped_EP	20201214	0.2991
5000028	CA_LADWP	Hydro_NonPumped_EP	20201219	0.2991
5000028	CA_LADWP	Hydro_NonPumped_EP	20301208	0.2991
5000028	CA_LADWP	Hydro_NonPumped_EP	20301220	0.2991
5000028	CA_LADWP	Hydro_NonPumped_EP	20401207	0.2991
5000028	CA_LADWP	Hydro_NonPumped_EP	20401212	0.2991
5000028	CA_LADWP	Hydro_NonPumped_EP	20501206	0.2991
5000028	CA_LADWP	Hydro_NonPumped_EP	20501221	0.2991
5000029	CA_LADWP	Hydro_NonPumped_EP	20201214	0.3941
5000029	CA_LADWP	Hydro_NonPumped_EP	20201219	0.3941
5000029	CA_LADWP	Hydro_NonPumped_EP	20301208	0.3941
5000029	CA_LADWP	Hydro_NonPumped_EP	20301220	0.3941
5000029	CA_LADWP	Hydro_NonPumped_EP	20401207	0.3941
5000029	CA_LADWP	Hydro_NonPumped_EP	20401212	0.3941
5000029	CA_LADWP	Hydro_NonPumped_EP	20501206	0.3941
5000029	CA_LADWP	Hydro_NonPumped_EP	20501221	0.3941
5000030	CA_LADWP	Hydro_NonPumped_EP	20201214	0.1906
5000030	CA_LADWP	Hydro_NonPumped_EP	20201219	0.1906
5000030	CA_LADWP	Hydro_NonPumped_EP	20301208	0.1906
5000030	CA_LADWP	Hydro_NonPumped_EP	20301220	0.1906
5000030	CA_LADWP	Hydro_NonPumped_EP	20401207	0.1906
5000030	CA_LADWP	Hydro_NonPumped_EP	20401212	0.1906
5000030	CA_LADWP	Hydro_NonPumped_EP	20501206	0.1906
5000030	CA_LADWP	Hydro_NonPumped_EP	20501221	0.1906
5000031	CA_PGE_CEN	Hydro_NonPumped_EP	20201214	0.2998
5000031	CA_PGE_CEN	Hydro_NonPumped_EP	20201219	0.2998
5000031	CA_PGE_CEN	Hydro_NonPumped_EP	20301208	0.2998
5000031	CA_PGE_CEN	Hydro_NonPumped_EP	20301220	0.2998
5000031	CA_PGE_CEN	Hydro_NonPumped_EP	20401207	0.2998
5000031	CA_PGE_CEN	Hydro_NonPumped_EP	20401212	0.2998
5000031	CA_PGE_CEN	Hydro_NonPumped_EP	20501206	0.2998
5000031	CA_PGE_CEN	Hydro_NonPumped_EP	20501221	0.2998
5000032	CA_PGE_CEN	Hydro_NonPumped_EP	20201214	0.3125
5000032	CA_PGE_CEN	Hydro_NonPumped_EP	20201219	0.3125
5000032	CA_PGE_CEN	Hydro_NonPumped_EP	20301208	0.3125
5000032	CA_PGE_CEN	Hydro_NonPumped_EP	20301220	0.3125
5000032	CA_PGE_CEN	Hydro_NonPumped_EP	20401207	0.3125
5000032	CA_PGE_CEN	Hydro_NonPumped_EP	20401212	0.3125
5000032	CA_PGE_CEN	Hydro_NonPumped_EP	20501206	0.3125
5000032	CA_PGE_CEN	Hydro_NonPumped_EP	20501221	0.3125
5000033	CA_PGE_CEN	Hydro_NonPumped_EP	20201214	0.3722
5000033	CA_PGE_CEN	Hydro_NonPumped_EP	20201219	0.3722
5000033	CA_PGE_CEN	Hydro_NonPumped_EP	20301208	0.3722
5000033	CA_PGE_CEN	Hydro_NonPumped_EP	20301220	0.3722
5000033	CA_PGE_CEN	Hydro_NonPumped_EP	20401207	0.3722
5000033	CA_PGE_CEN	Hydro_NonPumped_EP	20401212	0.3722
5000033	CA_PGE_CEN	Hydro_NonPumped_EP	20501206	0.3722
5000033	CA_PGE_CEN	Hydro_NonPumped_EP	20501221	0.3722
5000034	CA_PGE_CEN	Hydro_NonPumped_EP	20201214	0.4495
5000034	CA_PGE_CEN	Hydro_NonPumped_EP	20201219	0.4495
5000034	CA_PGE_CEN	Hydro_NonPumped_EP	20301208	0.4495
5000034	CA_PGE_CEN	Hydro_NonPumped_EP	20301220	0.4495
5000034	CA_PGE_CEN	Hydro_NonPumped_EP	20401207	0.4495
5000034	CA_PGE_CEN	Hydro_NonPumped_EP	20401212	0.4495
5000034	CA_PGE_CEN	Hydro_NonPumped_EP	20501206	0.4495
5000034	CA_PGE_CEN	Hydro_NonPumped_EP	20501221	0.4495
5000035	CA_PGE_CEN	Hydro_NonPumped_EP	20201214	0.4500
5000035	CA_PGE_CEN	Hydro_NonPumped_EP	20201219	0.4500
5000035	CA_PGE_CEN	Hydro_NonPumped_EP	20301208	0.4500
5000035	CA_PGE_CEN	Hydro_NonPumped_EP	20301220	0.4500
5000035	CA_PGE_CEN	Hydro_NonPumped_EP	20401207	0.4500
5000035	CA_PGE_CEN	Hydro_NonPumped_EP	20401212	0.4500
5000035	CA_PGE_CEN	Hydro_NonPumped_EP	20501206	0.4500
5000035	CA_PGE_CEN	Hydro_NonPumped_EP	20501221	0.4500
5000036	CA_PGE_CEN	Hydro_NonPumped_EP	20201214	0.3566
5000036	CA_PGE_CEN	Hydro_NonPumped_EP	20201219	0.3566
5000036	CA_PGE_CEN	Hydro_NonPumped_EP	20301208	0.3566
5000036	CA_PGE_CEN	Hydro_NonPumped_EP	20301220	0.3566
5000036	CA_PGE_CEN	Hydro_NonPumped_EP	20401207	0.3566
5000036	CA_PGE_CEN	Hydro_NonPumped_EP	20401212	0.3566
5000036	CA_PGE_CEN	Hydro_NonPumped_EP	20501206	0.3566
5000036	CA_PGE_CEN	Hydro_NonPumped_EP	20501221	0.3566
5000037	CA_PGE_CEN	Hydro_NonPumped_EP	20201214	0.3566
5000037	CA_PGE_CEN	Hydro_NonPumped_EP	20201219	0.3566
5000037	CA_PGE_CEN	Hydro_NonPumped_EP	20301208	0.3566
5000037	CA_PGE_CEN	Hydro_NonPumped_EP	20301220	0.3566
5000037	CA_PGE_CEN	Hydro_NonPumped_EP	20401207	0.3566
5000037	CA_PGE_CEN	Hydro_NonPumped_EP	20401212	0.3566
